Species,Count,Location,Observation type,Observation date,Start Time,Duration,Distance,Area,Elevation,Party Size,Complete Checklist,# of species,Details
 (Nyctidromus albicollis),11,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Hydropsalis torquata),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Nyctibius griseus),4,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Chionomesa fimbriata),2,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Rupornis magnirostris),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Thamnophilus pelzelni),4,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Herpsilochmus atricapillus),10,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Sclerurus scansor cearensis),5,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Sittasomus griseicapillus),4,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Synallaxis scutata),12,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Neopelma pallescens),7,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Procnias averano),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Myiobius atricaudus),2,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Polioptila plumbea),2,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Pheugopedius genibarbis),2,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Euphonia chlorotica),4,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Basileuterus culicivorus),3,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
 (Stilpnia cayana),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 19, 2022",5:00 AM,5 hour(s),,0.5 ac,,3,true,18 species,
