Species,Count,Location,Observation type,Observation date,Start Time,Duration,Distance,Area,Elevation,Party Size,Complete Checklist,# of species,Details
 (Phaethornis pretrei),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 16, 2022",5:00 AM,6 hour(s),,0.5 ac,,3,true,15 species,
 (Rupornis magnirostris),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 16, 2022",5:00 AM,6 hour(s),,0.5 ac,,3,true,15 species,
 (Herpsilochmus atricapillus),3,Chapada do Araripe - Trilha das Flores,Banding,"Mar 16, 2022",5:00 AM,6 hour(s),,0.5 ac,,3,true,15 species,
 (Sclerurus scansor cearensis),3,Chapada do Araripe - Trilha das Flores,Banding,"Mar 16, 2022",5:00 AM,6 hour(s),,0.5 ac,,3,true,15 species,
 (Sittasomus griseicapillus),5,Chapada do Araripe - Trilha das Flores,Banding,"Mar 16, 2022",5:00 AM,6 hour(s),,0.5 ac,,3,true,15 species,
 (Synallaxis scutata),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 16, 2022",5:00 AM,6 hour(s),,0.5 ac,,3,true,15 species,
 (Neopelma pallescens),7,Chapada do Araripe - Trilha das Flores,Banding,"Mar 16, 2022",5:00 AM,6 hour(s),,0.5 ac,,3,true,15 species,These are the most curious birds I’ve ever encountered
 (Platyrinchus mystaceus),3,Chapada do Araripe - Trilha das Flores,Banding,"Mar 16, 2022",5:00 AM,6 hour(s),,0.5 ac,,3,true,15 species,
 (Tolmomyias flaviventris),2,Chapada do Araripe - Trilha das Flores,Banding,"Mar 16, 2022",5:00 AM,6 hour(s),,0.5 ac,,3,true,15 species,
 (Lathrotriccus euleri),2,Chapada do Araripe - Trilha das Flores,Banding,"Mar 16, 2022",5:00 AM,6 hour(s),,0.5 ac,,3,true,15 species,
 (Pheugopedius genibarbis),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 16, 2022",5:00 AM,6 hour(s),,0.5 ac,,3,true,15 species,
 (Turdus leucomelas),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 16, 2022",5:00 AM,6 hour(s),,0.5 ac,,3,true,15 species,
 (Euphonia chlorotica),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 16, 2022",5:00 AM,6 hour(s),,0.5 ac,,3,true,15 species,
 (Arremon taciturnus),2,Chapada do Araripe - Trilha das Flores,Banding,"Mar 16, 2022",5:00 AM,6 hour(s),,0.5 ac,,3,true,15 species,One individual pictured
 (Basileuterus culicivorus),3,Chapada do Araripe - Trilha das Flores,Banding,"Mar 16, 2022",5:00 AM,6 hour(s),,0.5 ac,,3,true,15 species,
