Species,Count,Location,Observation type,Observation date,Start Time,Duration,Distance,Area,Elevation,Party Size,Complete Checklist,# of species,Details
 (Piaya cayana),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Nyctidromus albicollis),10,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Nyctibius griseus),2,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Rupornis magnirostris),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Glaucidium brasilianum),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Picumnus limae),2,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Caracara plancus),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Thamnophilus pelzelni),6,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Herpsilochmus atricapillus),8,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Sclerurus scansor),4,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Sittasomus griseicapillus),2,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Synallaxis scutata),10,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Neopelma pallescens),3,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Antilophia bokermanni),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Platyrinchus mystaceus),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Tolmomyias flaviventris),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Lathrotriccus euleri),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Tyrannus melancholicus),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Hylophilus amaurocephalus),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Cyanocorax cyanopogon),6,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Polioptila plumbea),5,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Pheugopedius genibarbis),2,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Turdus leucomelas),4,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Euphonia chlorotica),2,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Arremon taciturnus),1,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Basileuterus culicivorus),2,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Stilpnia cayana),5,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Dacnis cayana),4,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
 (Coereba flaveola),2,Chapada do Araripe - Trilha das Flores,Banding,"Mar 18, 2022",5:00 AM,6 hour(s),,0.5 ac,,4,true,29 species,
